phi,M(kNm)
2.28E-11,1.07E+08
2.29E-11,1.07E+08
2.30E-11,1.07E+08
2.31E-11,1.07E+08
2.32E-11,1.07E+08
2.33E-11,1.07E+08
2.34E-11,1.07E+08
2.35E-11,1.07E+08
2.36E-11,1.07E+08
2.37E-11,1.07E+08
2.38E-11,1.07E+08
2.39E-11,1.07E+08
2.40E-11,1.07E+08
2.41E-11,1.07E+08
2.42E-11,1.07E+08
2.43E-11,1.07E+08
2.44E-11,1.07E+08
2.45E-11,1.07E+08
2.46E-11,1.07E+08
2.47E-11,1.07E+08
2.48E-11,1.07E+08
2.49E-11,1.06E+08
2.50E-11,1.06E+08
2.51E-11,1.06E+08
2.52E-11,1.06E+08
2.53E-11,1.06E+08
2.54E-11,1.06E+08
2.55E-11,1.06E+08
2.56E-11,1.06E+08
2.57E-11,1.06E+08
2.58E-11,1.06E+08
2.59E-11,1.06E+08
2.60E-11,1.06E+08
2.61E-11,1.06E+08
2.62E-11,1.06E+08
2.63E-11,1.06E+08
2.64E-11,1.06E+08
2.65E-11,1.06E+08
2.66E-11,1.06E+08
2.67E-11,1.06E+08
2.68E-11,1.06E+08
2.69E-11,1.06E+08
2.70E-11,1.06E+08
2.71E-11,1.06E+08
2.72E-11,1.06E+08
2.73E-11,1.06E+08
2.74E-11,1.05E+08
2.75E-11,1.05E+08
2.76E-11,1.05E+08
2.77E-11,1.05E+08
2.78E-11,1.05E+08
2.79E-11,1.05E+08
2.80E-11,1.05E+08
2.81E-11,1.05E+08
2.82E-11,1.05E+08
2.83E-11,1.05E+08
2.84E-11,1.05E+08
2.85E-11,1.05E+08
2.86E-11,1.05E+08
2.87E-11,1.05E+08
2.88E-11,1.05E+08
2.89E-11,1.05E+08
2.90E-11,1.05E+08
2.91E-11,1.05E+08
2.92E-11,1.05E+08
2.93E-11,1.05E+08
2.94E-11,1.05E+08
2.95E-11,1.05E+08
2.96E-11,1.05E+08
2.97E-11,1.05E+08
2.98E-11,1.04E+08
2.99E-11,1.04E+08
3.00E-11,1.04E+08
3.01E-11,1.04E+08
3.02E-11,1.04E+08
3.03E-11,1.04E+08
3.04E-11,1.04E+08
